                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1663,                   1.82,                 1.1285,                0.77618,                0.54667,                    0.6,                0.40863,                 1.0097,                 1.1147,                0.96988,              0.0033329,              0.0033329,              0.0033329
                      2,                 0.9157,                 1.1775,                0.96725,                0.73567,                 0.6374,                0.71215,                0.51092,                0.89244,                0.88616,                0.90962,              0.0065013,              0.0065013,              0.0065013
                      3,                0.86253,                0.99955,                0.94898,                0.75779,                0.70037,                 0.7631,                0.55134,                0.88647,                0.79717,                0.89368,              0.0095046,              0.0095046,              0.0095046
                      4,                  0.796,                0.88366,                0.93633,                0.80202,                0.74386,                0.81345,                0.61302,                0.81414,                0.69751,                0.88034,              0.0092575,              0.0092575,              0.0092575
                      5,                 0.7336,                0.79957,                0.92186,                0.82651,                0.76305,                0.83861,                0.63852,                0.80448,                0.65636,                0.87144,                0.00901,                0.00901,                0.00901
                      6,                0.69548,                0.75206,                0.91203,                0.83048,                  0.765,                0.84619,                0.64983,                0.77338,                0.63259,                0.86563,              0.0087625,              0.0087625,              0.0087625
                      7,                0.66862,                0.71799,                 0.9059,                0.84543,                0.77804,                0.85731,                0.66201,                0.76824,                0.61104,                0.86227,               0.008515,               0.008515,               0.008515
                      8,                 0.6481,                0.69555,                0.90174,                0.84997,                0.78014,                0.86229,                0.67045,                 0.7537,                0.59675,                0.85916,              0.0082675,              0.0082675,              0.0082675
                      9,                0.63157,                0.67493,                0.89789,                0.85336,                0.78079,                0.86524,                0.67557,                0.74042,                0.58724,                0.85654,                0.00802,                0.00802,                0.00802
                     10,                0.61691,                0.65765,                0.89405,                0.85646,                0.78522,                0.86681,                 0.6777,                0.73415,                0.57947,                0.85493,              0.0077725,              0.0077725,              0.0077725
                     11,                0.60749,                0.64627,                0.89233,                0.86005,                0.78575,                0.86931,                0.68208,                0.72813,                0.57255,                0.85311,               0.007525,               0.007525,               0.007525
                     12,                0.59734,                0.63686,                0.88965,                0.85217,                0.79427,                0.87113,                0.68522,                0.72501,                0.56896,                0.85203,              0.0072775,              0.0072775,              0.0072775
                     13,                0.58827,                 0.6246,                 0.8875,                0.85272,                0.79743,                 0.8728,                0.68651,                0.72373,                0.56595,                0.85133,                0.00703,                0.00703,                0.00703
                     14,                0.57984,                0.61534,                 0.8855,                0.85292,                0.79681,                0.87398,                0.68843,                 0.7223,                0.56341,                0.85082,              0.0067825,              0.0067825,              0.0067825
                     15,                0.57355,                0.60994,                0.88454,                0.85414,                0.79977,                0.87542,                0.69013,                0.72126,                0.56059,                0.85032,               0.006535,               0.006535,               0.006535
                     16,                0.56661,                0.60242,                  0.883,                0.85144,                0.80454,                0.87668,                0.69144,                0.72051,                0.55829,                0.84989,              0.0062875,              0.0062875,              0.0062875
                     17,                0.56142,                 0.5973,                0.88148,                0.85222,                0.80524,                 0.8777,                0.69279,                0.72033,                  0.556,                0.84951,                0.00604,                0.00604,                0.00604
                     18,                0.55523,                0.58891,                0.88007,                 0.8555,                 0.8027,                 0.8785,                0.69383,                0.71984,                0.55357,                0.84908,              0.0057925,              0.0057925,              0.0057925
                     19,                0.55022,                0.58449,                0.87862,                0.85567,                 0.8038,                0.87928,                0.69504,                0.71781,                0.55106,                0.84852,               0.005545,               0.005545,               0.005545
                     20,                0.54374,                0.57598,                0.87767,                0.86063,                0.80221,                0.88036,                0.69578,                0.71736,                 0.5489,                0.84807,              0.0052975,              0.0052975,              0.0052975
                     21,                0.53936,                0.57296,                0.87641,                0.86213,                0.80317,                0.88159,                0.69719,                0.71591,                0.54656,                0.84769,                0.00505,                0.00505,                0.00505
                     22,                0.53421,                0.56521,                 0.8746,                0.86268,                0.80652,                 0.8825,                0.69853,                0.71428,                0.54434,                 0.8473,              0.0048025,              0.0048025,              0.0048025
                     23,                   0.53,                0.56184,                0.87452,                0.86539,                0.80584,                0.88325,                0.69956,                0.71506,                0.54283,                0.84699,               0.004555,               0.004555,               0.004555
                     24,                0.52601,                0.55853,                0.87423,                0.86311,                 0.8089,                0.88412,                0.70053,                0.71488,                0.54121,                0.84646,              0.0043075,              0.0043075,              0.0043075
                     25,                0.51935,                 0.5501,                0.87201,                0.86326,                0.81213,                0.88503,                0.70178,                0.71381,                0.53934,                0.84612,                0.00406,                0.00406,                0.00406
                     26,                0.51423,                0.54571,                0.87198,                0.86662,                0.81117,                0.88616,                0.70251,                0.71478,                0.53804,                0.84587,              0.0038125,              0.0038125,              0.0038125
                     27,                0.51153,                0.54147,                0.86993,                0.86701,                0.81038,                 0.8867,                0.70355,                0.71425,                0.53649,                0.84543,               0.003565,               0.003565,               0.003565
                     28,                0.50463,                0.53483,                0.86909,                0.86981,                0.80997,                0.88746,                0.70441,                0.71487,                0.53515,                0.84522,              0.0033175,              0.0033175,              0.0033175
                     29,                0.50053,                0.53039,                0.86764,                0.87158,                0.80981,                 0.8883,                 0.7052,                0.71471,                0.53353,                0.84492,                0.00307,                0.00307,                0.00307
                     30,                0.49641,                0.52597,                0.86753,                0.87081,                0.81081,                0.88933,                0.70634,                0.71458,                0.53217,                0.84447,              0.0028225,              0.0028225,              0.0028225
                     31,                0.55604,                0.50837,                0.82592,                0.87035,                0.81245,                0.89066,                0.70777,                 0.7144,                0.53002,                0.84416,               0.002575,               0.002575,               0.002575
                     32,                0.54774,                0.49724,                0.82349,                0.87268,                0.81405,                0.89184,                0.70955,                0.71228,                0.52733,                0.84349,              0.0023275,              0.0023275,              0.0023275
                     33,                0.53911,                0.48963,                0.82152,                0.87335,                0.81547,                0.89316,                0.71103,                0.71196,                0.52527,                0.84284,                0.00208,                0.00208,                0.00208
                     34,                0.53285,                 0.4816,                0.81924,                0.87527,                0.81543,                0.89394,                0.71204,                0.71158,                0.52338,                0.84221,              0.0018325,              0.0018325,              0.0018325
                     35,                0.52568,                 0.4726,                0.81695,                0.87364,                0.81702,                0.89481,                0.71329,                0.71074,                0.52143,                0.84163,               0.001585,               0.001585,               0.001585
                     36,                0.52054,                0.46779,                 0.8156,                0.87841,                0.81578,                0.89608,                0.71495,                0.70957,                0.51917,                0.84088,              0.0013375,              0.0013375,              0.0013375
                     37,                    inf,                 0.4596,                0.81458,                0.87355,                0.82145,                0.89705,                0.71614,                0.70877,                0.51753,                0.84033,                0.00109,                0.00109,                0.00109
                     38,                0.50735,                0.45171,                 0.8133,                0.87478,                0.82293,                0.89764,                0.71666,                0.70942,                0.51649,                0.83991,              0.0008425,              0.0008425,              0.0008425
                     39,                0.50026,                 0.4454,                0.81089,                0.87625,                0.82378,                 0.8983,                0.71801,                0.70839,                0.51483,                0.83924,               0.000595,               0.000595,               0.000595
                     40,                0.49482,                0.43881,                0.81007,                0.87447,                0.82574,                0.89896,                0.71878,                0.70832,                0.51363,                0.83865,              0.0003475,              0.0003475,              0.0003475
